Source,Target,Weight
ユニバース八戸ニュータウン店,八戸市埋蔵文化財センター　是川縄文館,2.7470593587690626
スーパー銭湯　極楽湯　ピアドゥ八戸店　（ピアドゥ施設内別棟）,トイザらス・ベビーザらス八戸店　（ピアドゥ施設内別棟）,0.042397199359234285
スーパー銭湯　極楽湯　ピアドゥ八戸店　（ピアドゥ施設内別棟）,クローバーズピアこうようデイサービスセンターこうよう,0.6293207680905419
八戸市埋蔵文化財センター　是川縄文館,イオン八戸田向店,2.838420209619183
イオン八戸田向店,ユニバース階上店,12.65188950447913
マックスバリュ黒石店,マックスバリュ平賀店,6.083045168173061
マックスバリュおおわに店,マックスバリュ平賀店,5.874610195269824
イオンタウン三戸ショッピングセンター専門店,イオンタウン三戸ショッピングセンター,0.0
イオンタウン三戸ショッピングセンター専門店,サンデー三戸店,0.04342969733431431
イオンタウン三戸ショッピングセンター専門店,有料老人ホームかわらまち・にこにこプラザ,11.524382786387637
サンデー三戸店,一戸ショッピングセンター　イコオ,16.795232708403393
有料老人ホームかわらまち・にこにこプラザ,イオンスーパーセンター十和田店,7.957401795561037
エルムの街ショッピングセンター,エルムの街ショッピングセンター,0.17792631363621306
エルムの街ショッピングセンター,マックスバリュ板柳店,7.904694823013084
イオン柏ショッピングセンター本館,イオン柏ショッピングセンター食品館,0.0
イオン柏ショッピングセンター本館,デンコードー柏店,0.2517482690753527
デンコードー柏店,エルムの街ショッピングセンター,3.8555796102793347
下田ショッピングセンター,世田谷グランダ瀬田,5.254255863951119
スーパーカケモ西金崎店,マックスバリュ十和田東店,4.3397581332072415
スーパーカケモ西金崎店,イオン七戸十和田駅前店,10.539110021212956
下田ショッピングセンター(本棟増築分),下田ショッピングセンタースポーツ・100 円ショップ棟,0.0
下田ショッピングセンター(本棟増築分),下田ショッピングセンターTOHO シネタウン棟,0.0
下田ショッピングセンター(本棟増築分),下田ショッピングセンターTOHO シネタウン棟,0.0
下田ショッピングセンター(本棟増築分),イオン下田ショッピングセンター,0.0
下田ショッピングセンター(本棟増築分),イオン下田ショッピングセンター,0.0
下田ショッピングセンター(本棟増築分),マックスバリュー三沢店,9.174551408172599
マックスバリュ十和田南店,マックスバリュ十和田東店,0.014025512174165485
マックスバリュ十和田南店,イオンスーパーセンター十和田店,3.3332474440660884
イオンスーパーセンター十和田店,マックスバリュー三沢店,13.146937816185144
雫石駅,イオンモール盛岡･イオン盛岡店,14.104266496244689
イオン　前沢店,リサージュ四季の抄,8.435741459171844
イオン　前沢店,メガネの相沢　一関山目店,10.29728338414195
マックスバリュ　紫波店,マックスバリュ盛岡津志田店,10.536219014919443
マックスバリュ　紫波店,イオンタウン　北上　(マックスバリュー棟),21.35431845885888
